IncidntNum,categories,description,days,date,time,address,longitude,latitude,periods
170094618,MISSING PERSON,MISSING ADULT,Thursday,02/02/2017 12:00:00 AM,21:00:00,0 Block of DORE ST,-122.413045971966,37.7738617771611,evening
170097941,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,01/25/2017 12:00:00 AM,22:00:00,800 Block of BRYANT ST,-122.403404791479,37.775420706711,evening
170099113,NON-CRIMINAL,FOUND PROPERTY,Saturday,02/04/2017 12:00:00 AM,00:01:00,3RD ST / BRYANT ST,-122.395848299154,37.7813210474369,early_morning
170099527,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,02/04/2017 12:00:00 AM,12:55:00,0 Block of BAY ST,-122.406429633461,37.8065688614525,afternoon
170104392,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Friday,02/03/2017 12:00:00 AM,20:00:00,1300 Block of INDIANA ST,-122.390731675467,37.7539240730786,evening
176004885,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01/03/2017 12:00:00 AM,18:20:00,1700 Block of ALAMEDA ST,-122.402448598316,37.7686218429147,evening
176008116,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,01/06/2017 12:00:00 AM,20:23:00,OCTAVIA ST / JACKSON ST,-122.427986508395,37.793306565646,evening
176011896,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,01/04/2017 12:00:00 AM,19:59:00,MISSION ST / SPEAR ST,-122.394064715984,37.792537817505,evening
176011909,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/04/2017 12:00:00 AM,14:30:00,600 Block of 7TH ST,-122.402366997531,37.7724610410735,afternoon
176011915,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,01/04/2017 12:00:00 AM,22:00:00,FREMONT ST / FOLSOM ST,-122.393599296214,37.7879964380876,evening
176011921,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,01/04/2017 12:00:00 AM,22:10:00,STEVENSON ST / BRADY ST,-122.420777755772,37.7731629856845,evening
176013234,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,01/14/2017 12:00:00 AM,11:45:00,BRETHARTE TR / FRANCISCO ST,-122.417487999146,37.8041769417232,morning
176014925,NON-CRIMINAL,LOST PROPERTY,Friday,01/13/2017 12:00:00 AM,18:00:00,THE EMBARCADEROSOUTH ST / TOWNSEND ST,-122.388306067819,37.7817982352189,evening
176014931,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,01/15/2017 12:00:00 AM,14:45:00,1100 Block of FOLSOM ST,-122.409184636157,37.7756080205266,afternoon
176015183,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/08/2017 12:00:00 AM,13:45:00,ALAMEDA ST / RHODEISLAND ST,-122.402930032237,37.7686481017534,afternoon
176015199,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/08/2017 12:00:00 AM,16:00:00,FOLSOM ST / 3RD ST,-122.398932711095,37.7837848211584,afternoon
176015202,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,01/06/2017 12:00:00 AM,22:15:00,STEVENSON ST / MCCOPPIN ST,-122.421748892194,37.7716418466942,evening
176015741,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,01/12/2017 12:00:00 AM,20:00:00,0 Block of PRECITA AV,-122.418711309665,37.7466802310365,evening
